Code,Food Name,Edible factor,Energy (kJ),Energy (kcal),Water (g),Protein (g),Fat (g),Carbohydrate (g),Fibre (g),Ash (g),Ca (mg),Fe (mg),Mg (mg),P (mg),K (mg),Na (mg),Zn (mg),Se (mcg),Vit A RAE (mcg),Vit A RE (mcg),b-carotene (mcg),Retinol (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Folate Eq (mcg),Food folate (mcg),Vit B12 (mcg),Vit C (mg)
1052,"Green Maize, white, whole, grain, fresh, stewed (without salt)",0.62,850,203,41.7,5.3,3.2,27.8,20.9,1.1,23,1.6,50,245,244,10,2.53,7,10,20,0,121,0.17,0.13,1.9,81,81,0,1
1024,"Millet, bulrush, flour",1,1490,354,11,10.5,5.3,61.8,8.8,2.7,32,32.4,84,263,291,4,4.14,34,0,0,0,0,0.27,0.17,1.5,162,162,0,3
1025,"Millet, bulrush, grain, dry, raw",1,1490,354,11,9.8,5.3,62.5,8.8,2.7,32,6.3,84,427,291,4,4.14,25,2,5,0,28,0.27,0.17,1.5,162,162,0,[3]
1053,"Millet, bulrush, whole, grain, dry, boiled, drained (without salt)",1,623,148,62.9,4.1,2.2,26,3.6,1.1,15,2.6,36,169,97,3,1.64,11,1,2,0,11,0.06,0.05,0.5,47,47,0,1
1054,"Millet, bulrush, whole, grain, dry, stewed, drained (without salt)",1,623,148,62.9,4.1,2.2,26,3.6,1.1,15,2.6,36,178,122,3,1.73,11,1,2,0,11,0.08,0.07,0.6,54,54,0,1
1026,"Millet, finger, flour",1,1290,306,11.3,7.4,2,53.3,22.6,3.5,344,18.5,154,183,538,2,1.7,2.7,0,0,0,2,0.19,0.04,4.6,93,93,0,0
1027,"Millet, Finger, grain, dried, raw",1,1280,305,11.3,7.38,[1.9],53.5,22.6,3.5,344,11.3,154,183,538,2,1.7,15.3,0,0,0,2,0.19,0.04,4.6,93,93,0,0
1028,Millet Yeast (germinated millet seeds),1,1270,302,12.7,7.4,[1.9],52.7,[22.6],2.9,859,27.6,180,245,81,6,[1.64],[15],0,0,0,0,0.16,[0.04],[4.5],[93],[90],0,[0]
1029,"Oat bran, unprocessed, uncooked",1,1570,373,5.6,10.7,7.5,57.8,15.5,2.9,54,4.4,153,491,362,12,3.2,45,0,0,0,0,0.76,0.14,0.8,33,33,0,0
1030,"Pasta, macaroni, plain, dry, raw-imported",1,1570,370,7.1,13.7,1.5,73.8,3.3,0.7,21,1.9,44,148,147.6,5.2,0.6,13,0,0,0,0,0.07,0.03,1.1,17,17,0,0
1065,"Pasta, macaroni, plain, dry, imported, boiled, drained (without salt)",1,637,150,62.2,5.6,0.6,30,1.4,0.3,10,0.6,16,57,36,3,0.25,5,0,0,0,0,0.03,0.01,0.4,5,5,0,0
1066,"Pasta, macaroni, plain, dry, imported boiled in recipe (without salt)",1,637,150,62.2,5.6,0.6,30,1.4,0.3,10,0.8,18,60,60,4,0.25,5,0,0,0,0,0.02,0.01,0.4,5,5,0,0
1031,"Pasta, spaghetti, dry, raw-imported",1,1500,354,10.6,12.7,1.4,71,3.2,1.1,18,1,30,172,142,5,0.6,12,0,0,0,0,0.07,0.06,1.1,16,16,0,0
1063,"Pasta, spaghetti, dry, imported, boiled, drained (without salt)",1,517,122,69.1,4.4,0.5,24.5,1.1,0.4,8,0.3,9,56,30,3,0.21,4,0,0,0,0,0.02,0.02,0.3,4,4,0,0
1064,"Pasta, spaghetti, dry, inported, boiled in recipe (without salt)",1,517,122,69.1,4.4,0.5,24.5,1.1,0.4,8,0.3,11,59,49,4,0.21,4,0,0,0,0,0.02,0.02,0.3,4,4,0,0
1032,"Rice, Flour",1,1490,352,11.9,6,1.1,78.4,2.1,0.5,14,0.8,37,146,155,2,0.95,12,0,0,0,0,0.12,0.03,2.9,7,7,0,0
1033,"Rice, parboiled, raw",1,1460,345,12,7,0.5,76.2,3.7,0.6,9,1.7,26,125,100,6,1.06,1,0,0,0,0,0.25,0.02,2.5,[10],[10],0,0
1060,"Rice, parboiled, boiled (without salt)",1,505,119,69.6,2.4,0.2,26.3,1.3,0.2,5,0.6,10,43,35,4,0.36,0,0,0,0,0,0.06,0.01,0.8,3,3,0,0
1034,"Rice, white, milled, polished grain, dry, raw",1,1500,353,12.2,7.6,1,78.1,0.7,0.4,21,0.9,23,144,59,17,1.32,1,0,0,0,0,0.07,0.11,1.1,[9],[9],0,0
1059,"Rice, white, milled, polished grain, dry, boiled (without salt)",1,503,119,70.5,2.6,0.3,26.2,0.2,0.2,9,0.3,8,48,20,8,0.44,0,0,0,0,0,0.02,0.04,0.4,2,2,0,0
1035,Semolina,1,1460,345,11.8,10.9,1.1,70.5,4.9,0.8,16,1.6,35,102,196,2,1.17,9,0,0,0,2,0.12,0.05,1.9,57,57,0,0
1036,"Scone, plain, commercial",1,1570,375,21,7.5,[15],51.4,2.1,3,56,1.5,15,107,128,800,0.7,2,95,102,87,90,0.09,0.1,0.5,19,19,0.4,0
1037,"Sorghum, Grain, Red, Dried, Raw",1,1420,336,11.6,9.3,3.5,59.9,14,1.8,10,3,150,296,387,6,1.97,21,0,1,0,4,0.24,0.11,3.3,64,64,0,0
1057,"Sorghum, whole, grain, red, dried, boiled, drained (without salt)",1,590,140,63.1,3.9,1.5,24.9,5.8,0.8,6,1.4,63,117,129,4,0.78,9,0,0,0,2,0.05,0.04,1,19,19,0,0
1058,"Sorghum, whole, grain, red, dried, stewed, drained (without salt)",1,590,140,63.1,3.9,1.5,24.9,5.8,0.8,6,1.4,63,123,162,4,0.82,9,0,0,0,2,0.08,0.05,1.3,21,21,0,0
1038,"Sorghum, Grain, Red, Flour",1,1420,336,11.6,9.3,3.5,59.9,14,1.8,10,3,150,296,387,6,1.97,12,0,0,0,0,0.24,0.11,3.3,0,0,0,0
1039,"Sorghum, grain, white, dry, raw",1,1440,341,11.8,10.8,3.5,60.5,11.9,1.5,18,6.4,101,356,233,6,1.69,21,1,3,0,17,0.24,0.11,3.3,64,64,0,0
1055,"Sorghum, whole, grain white, dry, boiled, drained (without salt)",1,599,142,63.2,4.5,1.5,25.2,4.9,0.6,9,2.7,43,141,78,4,0.67,9,1,1,0,6,0.05,0.04,1,19,19,0,0
1056,"Sorghum, whole, grain white, dry, stewed, drained (without salt)",1,599,142,63.2,4.5,1.5,25.2,4.9,0.6,9,2.7,43,148,97,4,0.7,9,1,1,0,7,0.08,0.05,1.3,21,21,0,0
1040,"Sorghum, grain, white, flour",1,1440,341,11.8,10.8,3.5,60.5,11.9,1.5,18,6.4,101,356,280,4,1.69,26,1,1,0,8.29,0.24,0.11,3.3,0,0,0,0
1041,"Teff, raw",1,1490,351,8.8,13.3,2.4,65.1,8,2.4,180,7.6,184,429,427,12,3.63,4,0,1,0,5,0.39,0.27,3.4,166,166,0,3
1042,Wheat Flour-Atta,1,1410,334,11.7,11.4,1.8,62.4,11.3,1.4,34,3.8,117,283,331,2,2.33,39,0,0,0,2,0.5,0.14,3.5,80,0,0,0
1043,"Wheat Flour (refined/fortified/sifted packaged), raw",1,1480,349,12.2,11.2,1.6,70.7,3.6,0.7,35,5.6,31,183,129,2,0.87,0,93,93,93,2,0.91,0.57,5.9,577,42,0.7,0
1044,"Wheat, whole, flour, raw",1,1380,328,12.5,11.3,2.5,58,14,1.7,39,4,125,315,366,3,3,48,0,1,0,3,0.43,0.14,2.7,0,0,0,0
1045,"Wheat, whole, grain, dry, raw",1,1380,328,12.5,11.6,2.5,57.8,14,1.7,39,4.9,122,205,358,2,3,47,0,1,0,5,0.39,0.13,2.7,57,57,0,0
1061,"Wheat, whole, grain, dry, boiled (without salt)",1,777,184,50.8,6.5,1.4,32.5,7.9,1,23,2.8,69,109,161,2,1.43,26,0,0,0,3,0.11,0.05,1.1,22,22,0,0
1062,"Wheat, whole, grain, dry, stewed (without salt)",1,777,184,50.8,6.5,1.4,32.5,7.9,1,23,2.8,69,115,201,3,1.51,26,0,0,0,3,0.16,0.07,1.4,26,26,0,0
