code,food_name,water_g,protein_g,fat_g,carbohydrate_available_g,fibre_g,ash_g
04016,"Cucumber, green, unpeeled, raw",96.2,0.6,0.1,1.3,1.4,0.5
04017,"Eggplant / Brinjal, different varieties, whole edible, raw",90.8,1.2,0.3,2.8,4,0.9
04018,"Jute mallow, picked leaves, raw",82.3,4.6,0.2,2.1,8.3,2.5
04019,"Kale, Ethiopian (kanzera), leaves, raw",90.4,3.3,0.6,0.2,4,1.6
04020,Kale (sukuma wiki) raw,89.2,3,0.3,1.2,4.7,1.6
04021,"Leeks, bulb and stem, raw",84.5,1.7,0.4,9.5,3.1,0.8
04022,"Lettuce, not further defined, raw",94.4,1.2,0.2,1.9,1.6,0.7
04023,"Mushroom, fresh, raw",89.7,2.3,0.4,4.5,2.3,0.9
04024,"Mushroom, dried, raw",11.9,12.3,2.9,32.4,39.1,1.4
04025,"Mushroom, raw, canned in brine (drained)",93,1.5,0.4,0.2,3.7,1.2
04026,"Okra, fresh, raw",90,2,0.2,3.5,3.7,0.7
04027,"Pumpkin, flesh, yellow w/o seeds, raw",90.3,1.2,0.2,5.2,2.4,0.7
04028,"Pumpkin, leaves, raw",87.3,4.2,0.7,2.2,2.3,3.2
04029,"Spider plant, leaves, raw",85,4.8,0.8,2.1,4.3,3
04030,"Spinach, leaves, raw",89.8,2.8,0.4,1.1,4.1,1.8
04031,"Spinach, Swiss chard, leaves, raw",90.3,3.1,0.2,0.7,3.6,2
04032,"Squash, butternut, peeled, flesh, raw",87.3,1.5,0.1,7.8,2.5,0.8
04033,"Stinging nettle, leaves, raw",80,5.4,0.7,6.7,2.1,4.9
04034,Sweet Potato (Leaves),87.6,4.3,0.5,0.8,5.3,1.4
04035,"Tomato, green, raw",93.2,1.1,0.2,3.3,1.6,0.6
04036,"Tomato, red, ripe, raw",93.6,1,0.2,3.3,1.4,0.5
04037,"Tomato, canned, whole contents",94,1,0.1,3.1,1.3,0.5
04038,"Vine (African) spinach, picked leaves, raw",90.4,3.4,0.7,0.2,3.7,1.6
04039,"Amaranth, leaves, picked, boiled, drained (without salt)",83.8,3.9,0.3,1.3,7.6,3.2
04040,"Amaranth, leaves, picked, stewed (without salt)",81,4.6,0.3,1.5,8.9,3.8
04041,"Bitter gourd, whole, different varieties, boiled, drained (without salt)",88.4,1.7,0.3,4.6,4.1,0.9
04042,"Black (African) nightshade, indigenous, leaves, picked, boiled, drained (without salt)",89.1,3.6,0.1,1.3,4.1,1.7
04044,"Broccoli, tops and stems, boiled, drained (without salt)",90.1,3,0.3,2.4,3.3,0.9
04045,"Broccoli, tops and stems, steamed (without salt)",89.4,3.2,0.3,2.6,3.6,1
04046,"Cabbage, leaf head, Chinese, boiled, drained (without salt)",96.9,0.9,0.3,0.4,1.1,0.4
04047,"Cabbage, leaf head, Chinese, steamed (without salt)",96.9,0.9,0.3,0.4,1.1,0.4
04048,"Cabbage, leaf head, red, boiled, drained (without salt)",90.9,1.3,0.2,3.2,3.5,0.9
04049,"Cabbage, leaf head, red, stewed (without salt)",91.7,1.2,0.2,2.9,3.1,0.8
04050,"Cabbage, leaf head, white, boiled, drained (without salt)",93.6,1.1,0.1,2.2,2.3,0.7
04051,"Cabbage, leaf head, white, stewed (without salt)",93.3,1.2,0.1,2.4,2.4,0.7
04052,"Capsicum (sweet peper), green, boiled, drained (without salt)",92.3,1.7,0.1,3.3,2.3,0.2
04053,"Capsicum (sweet peper), green, grilled (without salt and fat)",92.8,1.6,0.1,3.1,2.2,0.2
04054,"Capsicum (sweet peper), green, baked (without salt)",93,1.6,0.1,3,2.1,0.2
04055,"Capsicum (sweet peper), red, boiled, drained (without salt)",91.3,2,0.2,4,2.1,0.5
04056,"Capsicum (sweet peper), red, grilled (without salt and fat)",91.8,1.8,0.2,3.8,1.9,0.4
04057,"Capsicum (sweet peper), red, baked (without salt)",92.1,1.8,0.2,3.6,1.9,0.4
04058,"Capsicum (sweet peper), yellow, boiled, drained (without salt)",92.4,1.6,0.2,2.6,2.5,0.7
04059,"Capsicum (sweet peper), yellow, grilled (without salt and fat)",92.9,1.5,0.2,2.4,2.4,0.7
04060,"Capsicum (sweet peper), yellow, baked (without salt)",93.1,1.4,0.2,2.4,2.3,0.6
04061,"Carrot, peeled, boiled, drained (without salt)",90,0.8,0.3,4.8,3.4,0.7
04062,"Carrot, peeled, stewed (without salt)",90.2,0.8,0.2,4.7,3.4,0.7
04063,"Cauliflower, tops and stems, boiled, drained (without salt)",93.2,2,0.2,0.9,2.8,0.9
04064,"Celery, stalk, boiled, drained (without salt)",89.9,0.7,0.1,5.8,1.6,1.9
04065,"Courgette, green, unpeeled, boiled, drained (without salt)",94.2,1,0.3,2.8,1.2,0.4
04066,"Cowpea, leaves, picked, boiled, drained (without salt)",89.2,3.2,0.4,0.6,4.7,1.8
04067,"Cowpea, leaves, picked, steamed (without salt)",90.2,2.9,0.4,0.6,4.3,1.7
04068,"Eggplant / Brinjal, different varieties, whole edible, boiled, drained (without salt)",90.1,1.3,0.3,3,4.3,1
04069,"Eggplant / Brinjal, different varieties, whole edible, stewed (without salt)",88.5,1.5,0.4,3.4,5,1.2
